gbifid;decimallongitude;decimallatitude;ISO_CC;CONTINENT;COUNTRY;speciesKey
147582266;-9.150000000000048;6.941666666666666;LBR;Africa;Liberia;2798175
147582267;-9.141666666666715;6.941666666666666;LBR;Africa;Liberia;2798175
147582268;-9.133333333333384;6.941666666666666;LBR;Africa;Liberia;2798175
147582269;-9.12500000000005;6.941666666666666;LBR;Africa;Liberia;2798175
147582270;-9.116666666666717;6.941666666666666;LBR;Africa;Liberia;2798175
147582271;-9.108333333333384;6.941666666666666;LBR;Africa;Liberia;2798175
147582272;-9.100000000000051;6.941666666666666;LBR;Africa;Liberia;2798175
147582273;-9.091666666666718;6.941666666666666;LBR;Africa;Liberia;2798175
147582274;-9.083333333333384;6.941666666666666;LBR;Africa;Liberia;2798175
147582275;-9.075000000000053;6.941666666666666;LBR;Africa;Liberia;2798175
147582276;-9.06666666666672;6.941666666666666;LBR;Africa;Liberia;2798175
147582277;-9.058333333333389;6.941666666666666;LBR;Africa;Liberia;2798175
147582278;-9.050000000000054;6.941666666666666;LBR;Africa;Liberia;2798175
147582279;-9.04166666666672;6.941666666666666;LBR;Africa;Liberia;2798175
147582280;-9.033333333333388;6.941666666666666;LBR;Africa;Liberia;2798175
147582281;-9.025000000000055;6.941666666666666;LBR;Africa;Liberia;2798175
147582282;-9.016666666666724;6.941666666666666;LBR;Africa;Liberia;2798175
147582283;-9.00833333333339;6.941666666666666;LBR;Africa;Liberia;2798175
147582284;-9.000000000000057;6.941666666666666;LBR;Africa;Liberia;2798175
147582285;-8.991666666666724;6.941666666666666;LBR;Africa;Liberia;2798175
147582286;-8.983333333333391;6.941666666666666;LBR;Africa;Liberia;2798175
147582287;-8.975000000000058;6.941666666666666;LBR;Africa;Liberia;2798175
147582288;-8.966666666666725;6.941666666666666;LBR;Africa;Liberia;2798175
147582289;-8.958333333333393;6.941666666666666;LBR;Africa;Liberia;2798175
147582290;-8.95000000000006;6.941666666666666;LBR;Africa;Liberia;2798175
147582291;-8.941666666666727;6.941666666666666;LBR;Africa;Liberia;2798175
147582292;-8.933333333333394;6.941666666666666;LBR;Africa;Liberia;2798175
147582293;-8.925000000000061;6.941666666666666;LBR;Africa;Liberia;2798175
147582294;-8.916666666666728;6.941666666666666;LBR;Africa;Liberia;2798175
147582295;-8.908333333333395;6.941666666666666;LBR;Africa;Liberia;2798175
147582296;-8.900000000000063;6.941666666666666;LBR;Africa;Liberia;2798175
147582297;-8.89166666666673;6.941666666666666;LBR;Africa;Liberia;2798175
147582298;-8.883333333333397;6.941666666666666;LBR;Africa;Liberia;2798175
147582299;-8.875000000000064;6.941666666666666;LBR;Africa;Liberia;2798175
147582300;-8.866666666666731;6.941666666666666;LBR;Africa;Liberia;2798175
147582301;-8.858333333333398;6.941666666666666;LBR;Africa;Liberia;2798175
147582302;-8.850000000000065;6.941666666666666;LBR;Africa;Liberia;2798175
147582303;-8.841666666666733;6.941666666666666;LBR;Africa;Liberia;2798175
147582304;-8.8333333333334;6.941666666666666;LBR;Africa;Liberia;2798175
147582305;-8.825000000000067;6.941666666666666;LBR;Africa;Liberia;2798175
147582306;-8.816666666666734;6.941666666666666;LBR;Africa;Liberia;2798175
147582307;-8.808333333333401;6.941666666666666;LBR;Africa;Liberia;2798175
147582308;-8.800000000000068;6.941666666666666;LBR;Africa;Liberia;2798175
147582309;-8.791666666666735;6.941666666666666;LBR;Africa;Liberia;2798175
147582310;-8.783333333333402;6.941666666666666;LBR;Africa;Liberia;2798175
147582311;-8.77500000000007;6.941666666666666;LBR;Africa;Liberia;2798175
147582312;-8.766666666666737;6.941666666666666;LBR;Africa;Liberia;2798175
147582313;-8.758333333333404;6.941666666666666;LBR;Africa;Liberia;2798175
147582314;-8.750000000000071;6.941666666666666;LBR;Africa;Liberia;2798175
147582315;-8.741666666666738;6.941666666666666;LBR;Africa;Liberia;2798175
147582316;-8.733333333333405;6.941666666666666;LBR;Africa;Liberia;2798175
147582317;-8.725000000000072;6.941666666666666;LBR;Africa;Liberia;2798175
147582318;-8.71666666666674;6.941666666666666;LBR;Africa;Liberia;2798175
147582319;-8.708333333333407;6.941666666666666;LBR;Africa;Liberia;2798175
147582320;-8.700000000000074;6.941666666666666;LBR;Africa;Liberia;2798175
147582321;-8.691666666666741;6.941666666666666;LBR;Africa;Liberia;2798175
147582322;-8.683333333333408;6.941666666666666;LBR;Africa;Liberia;2798175
147582323;-8.675000000000075;6.941666666666666;LBR;Africa;Liberia;2798175
147582324;-8.666666666666742;6.941666666666666;LBR;Africa;Liberia;2798175
147582325;-8.65833333333341;6.941666666666666;LBR;Africa;Liberia;2798175
147582326;-8.650000000000077;6.941666666666666;LBR;Africa;Liberia;2798175
147582327;-8.641666666666744;6.941666666666666;LBR;Africa;Liberia;2798175
147582328;-8.633333333333411;6.941666666666666;LBR;Africa;Liberia;2798175
